attribute,method,accuracy,precision,recall,f1_score,roc_auc,true_negatives,false_positives,false_negatives,true_positives,specificity,sensitivity,dp_diff,eo_diff,fpr_diff,lambda
race,reweighting,0.6889848812095032,0.7058823529411765,0.5415676959619953,0.6129032258064516,0.7514098915829824,410,95,193,228,0.8118811881188119,0.5415676959619953,0.4817987152034261,0.636,0.30414746543778803,
race,resampling,0.6727861771058316,0.634090909090909,0.66270783847981,0.6480836236933798,0.7360621810399567,344,161,142,279,0.6811881188118812,0.66270783847981,1.0,1.0,0.4423963133640553,
race,threshold,0.6684665226781857,0.6676470588235294,0.5391923990498813,0.5965834428383706,0.7512828955104537,392,113,194,227,0.7762376237623763,0.5391923990498813,1.0,1.0,0.3103448275862069,
race,fairlearn_demographic_parity,0.5518358531317494,0.5136363636363637,0.2684085510688836,0.35257410296411856,0.5672585310787611,398,107,308,113,0.7881188118811882,0.2684085510688836,0.25481798715203424,0.316,0.25252525252525254,
race,fairlearn_equalized_odds,0.5475161987041036,0.5047619047619047,0.2517814726840855,0.3359746434231379,0.5816420121822159,401,104,315,106,0.7940594059405941,0.2517814726840855,0.24839400428265523,0.276,0.21658986175115208,
race,adversarial_pytorch,0.6868250539956804,0.7092651757188498,0.5273159144893111,0.6049046321525886,0.7458785070906141,414,91,199,222,0.8198019801980198,0.5273159144893111,0.4796573875802998,0.632,0.30414746543778803,0.0
race,adversarial_pytorch,0.6900647948164147,0.7042682926829268,0.5486935866983373,0.616822429906542,0.7451071235389571,408,97,190,231,0.807920792079208,0.5486935866983373,0.4989293361884368,0.652,0.3225806451612903,0.1
race,adversarial_pytorch,0.6868250539956804,0.6920821114369502,0.5605700712589073,0.6194225721784777,0.744763763787305,400,105,185,236,0.7920792079207921,0.5605700712589073,0.5160599571734475,0.66,0.35023041474654376,0.5
race,adversarial_pytorch,0.6911447084233261,0.7454545454545455,0.48693586698337293,0.5890804597701149,0.7345382281696103,435,70,216,205,0.8613861386138614,0.48693586698337293,0.4346895074946467,0.596,0.2488479262672811,1.0
sex,reweighting,0.693304535637149,0.6997084548104956,0.5700712589073634,0.6282722513089005,0.75127348839397,402,103,181,240,0.7960396039603961,0.5700712589073634,0.13045039164490863,0.14760107816711593,0.0283084004602992,
sex,resampling,0.683585313174946,0.6560975609756098,0.6389548693586699,0.6474127557160048,0.7432115895675079,364,141,152,269,0.7207920792079208,0.6389548693586699,0.14236292428198433,0.18037735849056602,0.031530494821634114,
sex,threshold,0.6825053995680346,0.6809116809116809,0.5676959619952494,0.6191709844559585,0.7512828955104537,393,112,182,239,0.7782178217821782,0.5676959619952494,0.05022845953002608,0.0768194070080862,0.05350978135788259,
sex,fairlearn_demographic_parity,0.6328293736501079,0.6147308781869688,0.5154394299287411,0.5607235142118863,0.6304414289409939,369,136,204,217,0.7306930693069307,0.5154394299287411,0.022715404699738928,0.12059838895281935,0.12059838895281935,
sex,fairlearn_equalized_odds,0.6684665226781857,0.6476683937823834,0.5938242280285035,0.6195786864931846,0.6644058230051034,369,136,171,250,0.7306930693069307,0.5938242280285035,0.012810052219321133,0.07410817031070194,0.07410817031070194,
sex,adversarial_pytorch,0.6846652267818575,0.7047619047619048,0.5273159144893111,0.6032608695652174,0.7460760565367701,412,93,199,222,0.8158415841584158,0.5273159144893111,0.13167428198433417,0.1671698113207547,0.026237054085155365,0.0
sex,adversarial_pytorch,0.6900647948164147,0.7080745341614907,0.5415676959619953,0.6137281292059219,0.7483525787258061,411,94,193,228,0.8138613861386138,0.5415676959619953,0.1408126631853786,0.18334231805929924,0.028768699654775604,0.1
sex,adversarial_pytorch,0.6911447084233261,0.6691729323308271,0.6342042755344418,0.651219512195122,0.747487124009313,373,132,154,267,0.7386138613861386,0.6342042755344418,0.0826697127937337,0.15229110512129385,0.04936708860759492,0.5
sex,adversarial_pytorch,0.642548596112311,0.5760135135135135,0.8099762470308789,0.6732477788746298,0.7459725782554503,254,251,80,341,0.502970297029703,0.8099762470308789,0.06263054830287207,0.05671159029649597,0.01542002301495965,1.0
